ID,Title,magnitude,score,URL
34,Police officer shot Courtney Topic dead at Hungry Jack's just 41 seconds after arriving,0.5,-0.5,https://www.9news.com.au/national/2018/03/19/17/29/courtney-topic-inquest-woman-shot-dead-by-police-was-swinging-kitchen-knife-in-hungry-jacks
35,"Teen dies after sinus infection travels to brain, family says",0.4,0.4,http://www.wpxi.com/news/trending-now/teen-dies-after-sinus-infection-travels-to-brain-family-says/715924056
36,Tempe police investigating self-driving Uber car involved in deadly crash overnight,0.7,-0.7,https://www.abc15.com/news/region-southeast-valley/tempe/tempe-police-investigating-self-driving-uber-car-involved-in-crash-overnight
37,Sheriff deputy in Washington allowed to return to work after shooting his wife.,0.2,-0.2,http://www.ifiberone.com/columbia_basin/grant-county-deputy-jose-rivera-to-resume-duties-with-sheriff/article_905e207c-2ba0-11e8-8487-43e1c3b9ddf9.html
38,"Alabama man wanted to kidnap mom and sell her ‰Û÷clean virgin‰Ûª daughter for sex, DOJ says",0.4,-0.4,http://www.ledger-enquirer.com/news/state/alabama/article205888319.html
39,"Facebook shares fall as EU, U.S. urge probes of data practices - Business",0.3,0.1,http://www.cbc.ca/news/business/facebook-cambridge-analytics-shares-1.4582568
40,"""A 22-year-old woman had come forward to accuse one of the most powerful men in Hollywood of sexual abuse, and the police decided she needed protection ‰ÛÓ not only from her alleged assailant, but from the elected official responsible for prosecuting him.""",0.3,-0.3,http://nymag.com/daily/intelligencer/2018/03/michael-osgood-special-victims-commander-harvey-weinstein.html
41,Parkland shooting suspect's brother arrested for alleged trespassing at school,0.8,-0.8,http://abcnews.go.com/US/parkland-school-shooting-suspects-brother-arrested-allegedly-trespassing/story?id=53861317
42,No bump stocks turned in to Denver police after ban,0.5,-0.5,https://www.thedenverchannel.com/news/front-range/denver/no-bump-stocks-turned-in-to-denver-police-after-ban
43,Mom who killed kids hours after husband filed for divorce is sentenced to 120 years,0,0,https://www.cbsnews.com/news/mom-who-killed-kids-hours-after-husband-filed-for-divorce-is-sentenced-to-120-years/
44,"USGS scientists have developed the first lab test that can pick up traces of manatees' genetic material in the waterways where they live. Using a water sample collected in the field, the environmental DNA test can reveal whether one or more manatees have been in the area within the past month.",0.6,0.3,https://www.usgs.gov/news/new-genetic-test-detects-manatees-recent-presence-fresh-or-saltwater
45,"Manhunt underway after 3 people shot in Taylorville, IL",0.1,-0.1,http://via.fox2now.com/tZlnU
46,"NYPD reportedly hid Weinstein accuser, fearing district attorney would sink case",0,0,https://www.theguardian.com/film/2018/mar/17/weinstein-ambra-battilana-case-hidden-nypd-district-attorney
47,St. Joseph's University Missing Freshman Mark Dombroski Found Dead,0.2,0,http://www.philly.com/philly/news/pennsylvania/philadelphia/st-josephs-university-missing-freshman-mark-dombroski-20180319.html
48,Mother Arrested for DUI After 10 Year-Old Girl Calls 911,0.2,-0.2,http://fox40.com/2018/03/18/mother-arrested-for-dui-after-10-year-old-girl-calls-911/
49,GoFundMe Account Established For Fruit Vendor Viciously Attacked Downtown,0.4,-0.4,http://losangeles.cbslocal.com/2018/03/18/gofundme-account-established-for-fruit-vendor-viciously-attacked-downtown/
50,Sunken USS Juneau Famous for the Sullivan Brothers Discovered on St. Patrick'åÛåªs Day | Paul Allen,1.1,0.3,https://www.paulallen.com/uss-juneau-wreck-located-famous-for-sullivan-brothers/
